weertman_c_prefactor,ungrounded_weertmanC_prefactor,glen_a_ref_prefactor,melt_rate_prefactor_exponent,per_century_trend,bump_amplitude,bump_duration
0.7866463748552143,1.1817262445413708,0.266638974155271,1.4758545842001025,114.28180542259132,332.18112390972414,6.858217977211444
0.7322161150002613,1.1688953617624707,0.46403376752002734,1.3615488276087873,74.49208656420592,188.1827494153828,7.0739594024167225
0.7874353612921148,1.4179384409064313,0.41488682309431335,1.5026059440742134,-10.991385212754544,220.65072909020148,6.214769449935113
0.8777308473529697,1.2238444806348958,1.0702571531670575,0.7501962062976228,72.25727507233137,26.14214654244681,7.023118258362233
0.7860861329374562,0.7581898342324669,0.8086165696182988,0.8957004474524465,265.15323093752875,233.16600723973104,6.7402636238288185
0.7641087227834362,1.3696539437315536,0.8073562818787373,0.8058544166493362,-46.64657153214687,100.29368527504353,7.451309001508044
0.7579584409646508,0.9164373798183085,0.3626669855468874,1.2560110085111553,-16.23319614478715,180.4582950424469,7.0546739354288395
0.7719763882454899,1.214628998525317,0.535623168110789,1.1830629106057513,113.57848544785456,212.9033115065879,5.8710717571362
0.8001427424140385,1.2893395069284768,0.4045103813069049,1.3347594533753755,71.70076215253589,253.46029397220985,4.961207278851272
0.8267606866402776,1.2674846488858738,0.5942623845445266,1.099220594617248,-114.39649330215934,175.06698078486897,7.672924966101259
0.7985577765637617,1.4971172609341914,0.6389263048518903,1.1948156572629174,80.3755402741333,211.2978679388791,8.205004174117784
0.8571063369970768,0.9864982156391474,0.8052826318224915,0.9936168866207309,27.873621717828236,127.12927110599276,5.636488964224672
0.8320628487275912,0.633331331663733,0.3904878790084102,1.3081591957037606,306.3574816525906,341.66111456046315,2.760741797979975
0.7719999572621677,1.0751694521165402,0.3192714645133146,1.4683406057598987,46.06849032352885,352.88637355065106,8.748509630568492
0.8461077760699135,0.654427293237308,0.9289674285478141,0.7896063287130759,50.06420414196509,156.18345594153521,5.607886640838795
0.7544305522790306,1.1963872473229058,0.47769814762266183,1.1863833936846235,131.28613549776284,211.12619804038997,6.286584728578956
0.7265224994583377,1.2741606869229265,0.19089904924779794,1.5826697926546274,-149.1740694207458,310.07321818158414,6.828362404042402
0.8420675920749627,1.0906081791564262,0.23313422663885586,1.3986523255625392,63.48528684715214,302.9745370931354,3.907932466658601
0.7940297629912144,0.682952859644094,0.9323461676319619,0.7831327708204334,205.1597338429284,147.7326115265601,5.097303012227251
0.8275353724279152,0.8755610467203383,0.6565961204282694,1.0550287872359636,-149.23103578614146,315.0770514070914,6.509741550991788
