weertman_c_prefactor,ungrounded_weertmanC_prefactor,glen_a_ref_prefactor,melt_rate_prefactor_exponent,per_century_trend,bump_amplitude,bump_duration,gl_position_1930,gl_position_2015
1.22188619796593,0.972094636040913,0.966182529648474,-0.958892228046826,14.3858776333947,281.260651687898,-0.394399179890252,-288000,-288000
0.776647869357739,0.612279022818635,1.12370068664385,0.881129610290132,445.173252547844,236.558786706385,4.41969949193755,-288000,-258000
0.817447731216592,0.99643802313626,1.3250486820239,-1.3915614114414,14.5422264091386,226.6938702483,5.00721575672971,-294000,-294000
0.482963046761261,1.17373943369928,1.01490042232494,0.93230951534855,-177.967216017414,156.410217449383,3.12777702035899,-294000,-291000
0.797315317779289,0.795906625904515,1.03128144212995,-0.617245898034287,414.075567053149,163.518648962198,0.177818286129316,-294000,-294000
1.16699390001104,0.921976868575094,1.39795271568791,-0.0504841545313821,31.8912024128988,371.942393770713,2.60571493175182,-258000,-258000
0.741524658049925,1.08714897860998,0.977713188250718,0.310217970759895,-207.748961587586,205.387487887639,2.3185704112471,-294000,-291000
1.15542553231942,0.890948083762435,1.1011189322964,-1.98753261270075,336.588787703451,151.590434946764,4.7082475671896,-291000,-291000
1.37446894242919,1.37433768037619,0.283348889088051,1.1288960955986,157.83625744393,112.252754731141,1.31767765033851,-258000,-258000
1.35073388648574,1.08151724092435,1.04557011417477,-0.0654019336290888,-231.776040564019,203.052274363283,2.45768422822359,-258000,-258000
0.943942430746239,0.521621932298647,1.04852716562614,0.968685453771467,425.612852165322,318.028409361292,2.07300602703547,-258000,-258000
0.696797662280217,0.528067239922348,1.1496652642249,1.13308026049747,518.546079400155,239.933262917815,4.86348649864221,-288000,-258000
0.620894991002806,0.57003177236918,1.37777407842988,0.691635464887818,412.155191917496,269.844946258648,7.38448433134586,-291000,-270000
0.300447162188776,0.778444802640194,1.06389410524863,2.86232954259199,190.596770249284,196.374738369964,5.33140389463734,-252000,105000
0.597822321539679,0.366734071802175,1.08497999049937,1.47299456412994,814.05894845911,206.740778396173,2.56946625810239,-288000,-258000
0.49720353446641,0.366788799039693,1.62346458721822,1.05344159031942,497.619116684794,376.205465528388,5.44169216065169,-291000,-258000
0.561641866435972,0.693229172755888,1.02577909585906,2.2412913950045,159.784097758858,245.463699251589,4.51578493466584,-258000,105000
0.918516313911652,0.453052427585374,1.16855321544066,0.0155412330933449,740.512753889986,191.505903365178,7.12760793875843,-291000,-264000
0.705962886240043,0.819637323179748,0.508398895566357,2.23455662701777,623.24243471258,116.599384553351,4.15159952822218,-258000,3000
0.681372301451388,0.526840906312393,1.27094560027867,1.03677338667186,233.498916023831,207.287758605078,5.29092930693248,-288000,-258000
0.661031973253412,0.43371559008878,1.40030459233584,0.757321108368342,478.428856358325,281.290599087184,5.79941690392843,-291000,-261000
0.667576866760376,0.521786332817926,1.18116930853756,1.12537864510473,521.730010645955,235.860639134632,5.22329772301192,-288000,-258000
0.600178331257077,0.578621000396734,1.37760167245171,0.752021633713427,403.828001752785,265.661530763657,7.52271864607482,-291000,-264000
0.456430158717443,0.463759178204957,1.49665904260371,1.1454094057648,456.196192231149,252.717924954072,6.53077182455372,-294000,-261000
0.567118529875896,0.359940812185223,1.11841699659872,1.46392471145006,817.561576292306,202.480700751885,2.9492729921096,-291000,-258000
0.491911287447308,0.368057738452784,1.62501731537347,1.06419641570955,496.242760629464,375.228721919837,5.48529575132998,-291000,-258000
0.767855172321614,0.394671982470437,1.39518771997323,0.564528041716289,415.583460995903,308.277872859778,5.04886795415967,-288000,-258000
0.905475653307755,0.457872085135453,1.16945782615135,0.0505890176633861,735.747415588539,188.930878132852,7.21988347860746,-291000,-264000
0.77405693092322,0.580099049910377,0.873631082661527,0.969247065987561,822.100430912119,151.348165533335,5.59058312744267,-288000,-258000
0.650564377943374,0.519989111251998,1.30455726599587,1.02749356375565,237.042230166051,203.016760288092,5.6723422075981,-291000,-258000
